IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,Unnamed: 16,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
6922262.0,SEA NASS,General Cargo Ship,1603.0,697.0,1969.0,Bahrain,,United Cement Co WLL,Bahrain,United Cement Co WLL,United Cement Co WLL,Bahrain,Alang,India,2024-11-01,,
9072226.0,JAHAN BROTHERS,Bulk Carrier,25899.0,8032.0,1994.0,Bangladesh,,Kabir Steel Re-Rolling Mills,Bangladesh,Brave Royal Ship Management,Maa Shipping Pvt Ltd,Bangladesh,Chittagong,Bangladesh,2024-02-01,,
9159438.0,KHADEEJAH JAHAN,Bulk Carrier,25074.0,6994.0,1997.0,Bangladesh,,Kabir Steel Re-Rolling Mills,Bangladesh,Brave Royal Ship Management,SR Shipping Ltd,Bangladesh,Chittagong,Bangladesh,2024-06-01,,
7924322.0,YAZ,General Cargo Ship,2023.0,1600.0,1981.0,Sierra Leone,,Farah Shipping Ltd,Belize,Farah Shipping Ltd,Farah Shipping Ltd,Belize,Aliaga,Turkey,2024-07-01,,
8101628.0,SOGDIANA,General Cargo Ship,1923.0,0.0,1982.0,Cameroon,,Boyd Lines Ltd,Belize,Boyd Lines Ltd,Boyd Lines Ltd,Belize,Aliaga,Turkey,2024-11-01,,
7380629.0,LEO,"FPSO, Oil",71176.0,23590.0,1975.0,St Kitts & Nevis,Singapore,BW Offshore Ltd,Bermuda,BW Offshore Holdings Pte Ltd,Tinworth Pte Ltd,Singapore,Alang,India,2024-04-01,,
8754059.0,A STAR,"Drilling Rig, semi Submersible",12727.0,14856.0,1983.0,St Kitts & Nevis,Liberia,Queiroz Galvao SA,Brazil,Petroleo Constellation SA,Olinda Star Ltd,British Virgin Islands,Alang,India,2024-11-01,,
8753378.0,KING MAKER,"Production Platform, semi submersible",8345.0,8800.0,1973.0,Panama,,Petroserv SA,Brazil,Petroserv SA,Petro Rio O&G Exploracao,Brazil,Aliaga,Turkey,2024-02-01,,
7711737.0,ALGOMA TRANSPORT,"Bulk Carrier, Self-discharging, Laker",23399.0,9148.0,1979.0,Canada,,Algoma Central Corp,Canada,Algoma Central Corp,Algoma Central Corp,Canada,Port Colborne,Canada,2024-01-01,,
7310260.0,ANCIER,Passenger/Ro-Ro Ship (Vehicles),11481.0,6283.0,1973.0,St Kitts & Nevis,Canada,CTMA,Canada,CTMA,Madeleine Navigation Inc,CTMA,Alang,India,2024-02-01,,
9197351.0,MAPOCHO,Container Ship (Fully Cellular),16986.0,7297.0,1999.0,Germany,,CSAV,Chile,Hapag-Lloyd AG,CSAV Austral SpA,Chile,Aliaga,Turkey,2024-03-01,,
9105463.0,JIN HAI XI,Bulk Carrier,17057.0,5973.0,1995.0,Sierra Leone,China,Fujian Communication Trans,China,Fujian Communication Trans,Fujian Communication Trans,China,Chittagong,Bangladesh,2024-01-01,,
9077288.0,GUANGZHOU,Container Ship (Fully Cellular),22738.0,8895.0,1994.0,Palau,China,Trawind Shipping Logistics,China,Trawind Shipping Logistics,Dalian Trawind Shipping Co Ltd,China,Chittagong,Bangladesh,2024-01-01,,
9032692.0,XIN XIANG AN,Bulk Carrier,13907.0,5113.0,1992.0,Sierra Leone,China,Yangpu Zhehai Shipping Co,China,Shanghai Yang Pu Zhe Hai Shpg,Shanghai Yang Pu Zhe Hai Shpg,China,Chittagong,Bangladesh,2024-02-01,,
9413509.0,FAR EAST CHEER,Container Ship (Fully Cellular),6253.0,3651.0,2007.0,Sierra Leone,Hong Kong,China United Lines Ltd,China,Hongxin Ship Management Ltd,Far East Cheer Shipping Co Ltd,Hong Kong,Chittagong,Bangladesh,2024-03-01,,
9102734.0,HONG YUAN 01,Container Ship (Fully Cellular),29181.0,11481.0,1996.0,Gabon,China,Shanghai Xunyuan Shipping Co,China,Shanghai Xunyuan Shipping Co,Shanghai Xunyuan Shipping Co,China,Chittagong,Bangladesh,2024-03-01,,
8981781.0,HONG YUN YOU 19,Products Tanker,3856.0,2580.0,1999.0,Gabon,China,Nanjing Hongyu Shipping Ltd,China,Nanjing Hongyu Shipping Ltd,Nanjing Hongyu Shipping Ltd,China,Chittagong,Bangladesh,2024-03-01,,
8223476.0,LU ZHOU,Products Tanker,1357.0,966.0,1983.0,Sierra Leone,Palau,Mei Zi Ma,China,Sino Port Da You Shipping Co,Sino Port Da You Shipping Co,Hong Kong,Chittagong,Bangladesh,2024-04-01,,
9094418.0,XIN RUN 66,Products Tanker,3807.0,2908.0,2004.0,Gabon,China,Zhejiang Guomao Group Co Ltd,China,Zhoushan Xincheng Yifengrun,Zhoushan Xincheng Yifengrun,China,Chittagong,Bangladesh,2024-04-01,,
9085572.0,YAMTA,Bulk Carrier,16721.0,6003.0,1994.0,Palau,Hong Kong,Shenzhen Shekou Shpg & Trans,China,Shenzhen Shekou Shpg & Trans,Shenzhen Shekou Shpg & Trans,China,Chittagong,Bangladesh,2024-04-01,,
9175432.0,LIAN FENG 6,General Cargo Ship,15589.0,6537.0,1999.0,Gabon,China,China COSCO Shipping Corp Ltd,China,COSCO Shipping Specialized-CHR,COSCO Shipping Specialized-CHR,China,Chittagong,Bangladesh,2024-04-01,,
1060007.0,HONG XI,General Cargo Ship,7654.0,3621.0,2008.0,Palau,China,Fangchenggang Zhongxing Shpg,China,Fangchenggang Zhongxing Shpg,Fangchenggang Zhongxing Shpg,China,Chittagong,Bangladesh,2024-05-01,,
9142007.0,XIN LV BAO SHI,Bulk Carrier,25933.0,7957.0,1996.0,Sierra Leone,China,Fujian Xiamen Shipping Co Ltd,China,Fujian Xiamen Shipping Co Ltd,Fujian Xiamen Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01,,
1046922.0,BAO DI LONG 8,General Cargo Ship,7142.0,3133.0,2006.0,Sierra Leone,China,Gu QW,China,Gu QW,Gu QW,China,Chittagong,Bangladesh,2024-05-01,,
9086215.0,HAN JI 2,Platform Supply Ship,2961.0,2126.0,1995.0,Sierra Leone,Unknown,Xingshun Shipping Co Ltd,China,Xingshun Shipping Co Ltd,Xingshun Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01,,
8126848.0,DONG FANG YONG SHI 2,Anchor Handling Tug Supply,1672.0,0.0,1983.0,Panama,,Sinopec Offshore Oilfield Serv,China,Sinopec Offshore Oilfield Serv,Sinopec Offshore Oilfield Serv,China,Chittagong,Bangladesh,2024-05-01,,
9122306.0,NAGA 2,Container Ship (Fully Cellular),4914.0,2453.0,1996.0,Comoros,Hong Kong,Fujian Xinan Shipping Co Ltd,China,Fujian Xinan Shipping Co Ltd,Fujian Xinan Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01,,
9203875.0,JI HAI ZHONG SHAN,Container Ship (Fully Cellular),3772.0,2175.0,1998.0,Gabon,China,SIPG Changjiang Port Logistics,China,Shanghai Jihai Shipping Co Ltd,Shanghai Jihai Shipping Co Ltd,China,Chittagong,Bangladesh,2024-05-01,,
1061403.0,BEI FANG MING ZHU,General Cargo Ship,12799.0,5776.0,2013.0,China,,Guangxi Evergreen Shipping,China,Guangxi Evergreen Shipping,Guangxi Evergreen Shipping,China,Chittagong,Bangladesh,2024-05-01,,
1064467.0,HAI SHUN FENG 8,General Cargo Ship,6476.0,3402.0,2004.0,Gabon,China,Xiamen Haishunfeng Shipping Co,China,Xiamen Haishunfeng Shipping Co,Xiamen Haishunfeng Shipping Co,China,Chittagong,Bangladesh,2024-05-01,,
1060904.0,ZHONG HONG DA 1,Container Ship (Fully Cellular),8911.0,3981.0,2006.0,Sierra Leone,China,Hainan Zhongda Shipping,China,Hainan Zhongda Shipping,Hainan Zhongda Shipping,China,Chittagong,Bangladesh,2024-05-01,,
1066087.0,XIN HAO JIANG 206,Bulk Carrier,7719.0,3328.0,2008.0,Gabon,China,Maoming Haojiang Shipping Co,China,Maoming Haojiang Shipping Co,Maoming Haojiang Shipping Co,China,Chittagong,Bangladesh,2024-06-01,,
8876431.0,KAI 1,Container Ship (Fully Cellular),4879.0,2404.0,1994.0,China,,China Fujian Foreign Trade,China,Fujian Xinan Shipping Co Ltd,Fujian Foreign Trade Centre,China,Chittagong,Bangladesh,2024-06-01,,
1067067.0,YUN TAI LONG 66,General Cargo Ship,4534.0,2091.0,2005.0,Gabon,China,Xiamen Yuntailong Shipping Co,China,Xiamen Yuntailong Shipping Co,Xiamen Yuntailong Shipping Co,China,Chittagong,Bangladesh,2024-06-01,,
9146845.0,XING TONG 313,LPG Tanker,2203.0,1909.0,1996.0,Gabon,China,Shanghai Huachen Shpg Co Ltd,China,Shanghai Huachen Shpg Co Ltd,Shanghai Huachen Shpg Co Ltd,China,Chittagong,Bangladesh,2024-06-01,,
1062665.0,XIANG,Aggregates Carrier,7006.0,3947.0,2020.0,St Kitts & Nevis,China,Lin KH,China,Lin KH,Lin KH,China,Chittagong,Bangladesh,2024-07-01,,
9335214.0,EVER EXPRESS,General Cargo Ship,2556.0,1377.0,2004.0,Panama,,Sea Carrier Shipping Co Ltd,China,Seiyo Express Co Ltd,Seiyo Star Co Ltd,Marshall Islands,Chittagong,Bangladesh,2024-07-01,,
1067691.0,YUN SHUO 7,General Cargo Ship,7459.0,3399.0,2008.0,Sierra Leone,China,Fujian Hongshuo Shipping Co,China,Fujian Hongshuo Shipping Co,Fujian Hongshuo Shipping Co,China,Chittagong,Bangladesh,2024-07-01,,
1073406.0,TAI 97,Bulk Carrier,8333.0,3232.0,2009.0,Gabon,China,Xiamen Hong Tai Shipping Co,China,Xiamen Hong Tai Shipping Co,Xiamen Hong Tai Shipping Co,China,Chittagong,Bangladesh,2024-07-01,,
8907888.0,AN TON,Refrigerated Cargo Ship,9070.0,5111.0,1990.0,Comoros,Cameroon,China Govt,China,Hai Ling Shipping Hong Kong,Hai Ling Shipping Hong Kong,China,Chittagong,Bangladesh,2024-07-01,,
1074620.0,MING JIN 1,Bulk Carrier,6927.0,3278.0,2006.0,Sierra Leone,China,Ni YG,China,Ni YG,Ni YG,China,Chittagong,Bangladesh,2024-08-01,,
1073365.0,HAI 351,Bulk Carrier,9984.0,4352.0,2005.0,Gabon,China,Anhui Yunhai Shipping Co Ltd,China,Anhui Yunhai Shipping Co Ltd,Anhui Yunhai Shipping Co Ltd,China,Chittagong,Bangladesh,2024-08-01,,
8661745.0,ZHAO 11,General Cargo Ship,6507.0,2889.0,2005.0,Gabon,China,Zhoushan Jinyu Shpg Dev Co,China,Zhoushan Jinyu Shpg Dev Co,Zhoushan Jinyu Shpg Dev Co,China,Chittagong,Bangladesh,2024-08-01,,
1067287.0,HONG DA XIN 7,General Cargo Ship,10346.0,4296.0,2008.0,Gabon,China,Shanghai Ronghe Dianke Leasing,China,Shanghai Ronghe Dianke Leasing,Shanghai Ronghe Dianke Leasing,China,Chittagong,Bangladesh,2024-08-01,,
9030632.0,SU ZHOU HAO,Passenger/Ro-Ro Ship (Vehicles),14410.0,5903.0,1992.0,St Kitts & Nevis,China,China COSCO Shipping Corp Ltd,China,China-Japan Intl Ferry Co Ltd,China-Japan Intl Ferry Co Ltd,China,Chittagong,Bangladesh,2024-08-01,,
9070785.0,SHUN DA FA ZHAN,Bulk Carrier,25498.0,7809.0,1994.0,St Kitts & Nevis,China,Taizhou Gia Shipping Co Ltd,China,Taizhou Gia Shipping Co Ltd,Jiahang Shpg/Yuguang/He JF,China,Chittagong,Bangladesh,2024-09-01,,
9353400.0,CHANG FEI HAI,General Cargo Ship,6487.0,2943.0,2005.0,Gabon,China,Changjiang National Shipping,China,Changjiang Transportation Tech,Changjiang Transportation Tech,China,Chittagong,Bangladesh,2024-11-01,,
1086843.0,YUN DA HAI,General Cargo Ship,6339.0,2881.0,2005.0,Gabon,China,Hubei Sinotrans Bulk Cargo,China,Hubei Sinotrans Bulk Cargo,Hubei Sinotrans Bulk Cargo,China,Chittagong,Bangladesh,2024-11-01,,
1077189.0,CHUN CHAO 9,General Cargo Ship,6071.0,2736.0,2006.0,Gabon,China,Fujian Chunchao Shipping Co Lt,China,Fujian Chunchao Shipping Co Lt,Fujian Chunchao Shipping Co Lt,China,Chittagong,Bangladesh,2024-11-01,,
9066708.0,NING HUA,Bulk Carrier,36557.0,9713.0,1993.0,St Kitts & Nevis,China,China Shenhua Energy Co Ltd,China,Guoneng Yuanhai Shpg Tianjin,Guoneng Yuanhai Shpg Tianjin,China,Chittagong,Bangladesh,2024-11-01,,
8882911.0,MING YUE,General Cargo Ship,2453.0,0.0,1994.0,China,,Donggang Development Zone,China,Dandong Marine Shipping Co Ltd,Donggang Development Zone,China,Jiangyin,China,2024-02-01,,
8775986.0,HAN YI 3,Fishing Vessel,616.0,0.0,2001.0,China,,Zhoushan Hanyi Deep-Sea,China,Zhoushan Hanyi Deep-Sea,Zhoushan Hanyi Deep-Sea,China,Zhoushan,China,2024-03-01,,
9072757.0,YU TIAN NO. 6,LPG Tanker,1377.0,0.0,1993.0,China,,Guangxi Zhenghai Shipping Co,China,Guangxi Zhenghai Shipping Co,Guangxi Zhenghai Shipping Co,China,Xinhui,China,2024-06-01,,
8797855.0,LU RONG YUAN YU 107,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8798093.0,LU RONG YUAN YU 810,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8798110.0,LU RONG YUAN YU 812,Fishing Vessel,648.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8798134.0,LU RONG YUAN YU 813,Fishing Vessel,648.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8798304.0,LU RONG YUAN YU 817,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8798328.0,LU RONG YUAN YU 112,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8798342.0,LU RONG YUAN YU 115,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8799372.0,LU RONG YUAN YU 118,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8799499.0,LU RONG YUAN YU 116,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8799504.0,LU RONG YUAN YU 117,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8799516.0,LU RONG YUAN YU 119,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
8799528.0,LU RONG YUAN YU 120,Fishing Vessel,651.0,0.0,2013.0,China,,Shandong Lanyue Ocean Fishery,China,Shandong Lanyue Ocean Fishery,Shandong Lanyue Ocean Fishery,China,Shidao,China,2024-07-01,,
9175315.0,DONG JIANG XIANG,Bulk Carrier,39385.0,11584.0,1999.0,China,,Tianjin Changming Shpg Group,China,Tianjin Dongjiang Shpg Co Ltd,Tianjin Dongjiang Shpg Co Ltd,China,Xinhui,China,2024-09-01,,
8756629.0,TIAO ZHAN,"Production Platform, semi submersible",17537.0,16327.0,1975.0,Comoros,Liberia,China National Offshore Oil,China,China National Offshore Oil,CNOOC FPSO Holding Ltd,China,Alang,India,2024-05-01,,
1076422.0,YU HAI TO,Articulated Pusher Tug,1920.0,1721.0,2008.0,St Kitts & Nevis,China,Unknown,China,Unknown,Unknown,China,Alang,India,2024-10-01,,
1076410.0,HAI TUO,Articulated Pusher Tug,1920.0,1721.0,2007.0,St Kitts & Nevis,China,Unknown,China,Unknown,Unknown,China,Alang,India,2024-10-01,,
9045948.0,STAR,Refrigerated Cargo Ship,9829.0,5538.0,1992.0,St Kitts & Nevis,Panama,Lin C & Wu X,China,Zhoushan Ningtai Ocean Fish,Hong Kong Hoi Shun Import,Hong Kong,Alang,India,2024-11-01,,
9064798.0,HONG,Container Ship (Fully Cellular),28892.0,11618.0,1995.0,St Kitts & Nevis,China,Xiamen Port Shipping Co Ltd,China,Xiamen Port Shipping Co Ltd,Xiamen Port Shipping Co Ltd,China,Gadani,Pakistan,2024-01-01,,
9422574.0,FAR EAST GRACE,Container Ship (Fully Cellular),6253.0,3585.0,2007.0,Hong Kong,,China United Lines Ltd,China,Guangzhou Zhongrun Shipping Co,Guo Xiang Shippig Ltd,Hong Kong,Gadani,Pakistan,2024-07-01,,
1044297.0,YI CHENG 58,General Cargo Ship,8726.0,4301.0,2007.0,Gabon,China ,Xiamen Yichengda Shipping Co,China ,Xiamen Yichengda Shipping Co,Xiamen Yichengda Shipping Co,China ,Chittagong,Bangladesh,2024-01-01,,
7525463.0,SONG,Bulk Carrier,28561.0,11247.0,1977.0,Sierra Leone,China ,China Govt,China ,Tianjin Yuanhua Shipping Co,Tianjin Yuanhua Shipping Co,China ,Chittagong,Bangladesh,2024-01-01,,
9008536.0,JIN YUAN HE,Container Ship (Fully Cellular),16236.0,6710.0,1991.0,Gabon,,Fujian Zhonghang Shpg Co Ltd,China ,Fujian Zhonghang Shpg Co Ltd,Fujian Zhonghang Shpg Co Ltd,China ,Chittagong,Bangladesh,2024-01-01,,
1036795.0,LUFFY,General Cargo Ship,9474.0,4635.0,2007.0,St Kitts & Nevis,China,Lianyungang Hengrong Shipping,China ,Lianyungang Hengrong Shipping,Lianyungang Hengrong Shipping,China ,Chittagong,Bangladesh,2024-02-01,,
9112416.0,DONG FANG,Container Ship (Fully Cellular),4879.0,2395.0,1994.0,Sierra Leone,,New Century Shipping Hong Kong,China ,New Century Shipping Hong Kong,New Century Shipping Hong Kong,Hong Kong ,Chittagong,Bangladesh,2024-02-01,,
9071595.0,EZ FORTUNA,Bulk Carrier,24550.0,7371.0,1995.0,Panama,,Xu D,China ,EZ Shipping Ltd,EZ Shipping Ltd,Hong Kong ,Chittagong,Bangladesh,2024-03-01,,
9032707.0,XIN XIANG RUI,Bulk Carrier,13696.0,5119.0,1992.0,Sierra Leone,China ,Yangpu Zhehai Shipping Co,China ,Shanghai Yang Pu Zhe Hai Shpg,Shanghai Yang Pu Zhe Hai Shpg,China ,Chittagong,Bangladesh,2024-03-01,,
8618762.0,QING YUAN YU 012,Fishing Vessel,577.0,509.0,1987.0,China ,,Qingdao Furui Fisheries Co Ltd,China ,Qingdao Furui Fisheries Co Ltd,Qingdao Furui Fisheries Co Ltd,China ,Unknown,China ,2024-01-01,,
9049164.0,DE SHENG 9,General Cargo Ship,6997.0,0.0,1992.0,"China, People's Republic Of",,Xiamen Hong Tai Shipping Co,China ,Xiamen Hong Tai Shipping Co,Xiamen Hong Tai Shipping Co,China ,Unknown,China ,2024-01-01,,
8816156.0,ZE LENG,Refrigerated Cargo Ship,11658.0,7006.0,1991.0,St Kitts & Nevis,Panama,HongKong Shunze International,China ,Hong Kong Tian Cheng Intl Ship,HongKong Shunze International,Hong Kong ,Alang,India,2024-01-01,,
1042988.0,ZE SHENG,Aggregates Carrier,6693.0,3492.0,2017.0,St Kitts & Nevis,China ,Fujian Yidesheng Shipping Co,China ,Fujian Yidesheng Shipping Co,Fujian Yidesheng Shipping Co,China ,Alang,India,2024-01-01,,
9309514.0,G HARMONY,General Cargo Ship,24960.0,11312.0,2005.0,Panama,,Sea Star Ships Management,China ,Glory Ships Co Ltd,G Harmony Ltd,Marshall Islands,Gadani,Pakistan,2024-01-01,,
9150303.0,RONG DA CHANG SHA,General Cargo Ship,18207.0,9346.0,1998.0,Panama,,Rongtua Holding Pte Ltd,China ,RTA Changsha Ltd,RTA Changsha Ltd,Liberia,Gadani,Pakistan,2024-03-01,,
7032246.0,CARIBBEAN EXPRESS,General Cargo Ship,1880.0,0.0,1970.0,Colombia,,Howard & Cia S en CS,Colombia,Howard & Cia S en CS,Howard & Cia S en CS,Colombia,Unknown,Unknown,2024-04-01,,
8311118.0,ICE RIVER,Refrigerated Cargo Ship,12401.0,6984.0,1985.0,Bahamas,,Cool Carriers Ltd,Cyprus,Cool Carriers AB,Whisper Mariner Corp,Panama,Alang,India,2024-01-01,,
8313702.0,BONTRUP EMIRATES,General Cargo Ship (Open Hatch),28239.0,11722.0,1986.0,Bahamas,,GBSMT Ltd,Cyprus,SMT Shipping Cyprus Ltd,Aruba Pearl Shipping Co Ltd,Marshall Islands,Alang,India,2024-02-01,,
8408882.0,TROPICAL SKY,Refrigerated Cargo Ship,9749.0,5358.0,1986.0,Bahamas,,Acheon Akti Navigation Co Ltd,Cyprus,Acheon Akti Navigation Co Ltd,Mayfield Shipping Corp,Panama,Alang,India,2024-08-01,,
8311120.0,ICE RUNNER,Refrigerated Cargo Ship,12411.0,6974.0,1984.0,Bahamas,,Cool Carriers AB,Cyprus,Cool Carriers AB,Carpe Marine Group SA,Panama,Alang,India,2024-09-01,,
7397593.0,PILGRIM,Bucket Ladder Dredger,1496.0,1870.0,1975.0,Tanzania (Zanzibar),,Whiteform Contracts Ltd,Cyprus,Whiteform Contracts Ltd,Whiteform Contracts Ltd,Cyprus,Aliaga,Turkey,2024-05-01,,
7368970.0,SUSANITA,Fishing Vessel,516.0,0.0,1973.0,Denmark,,Schmidt RH,Denmark,Schmidt RH,Schmidt RH,Denmark,Grenaa,Denmark,2023-12-01,,
7320485.0,NORDIA-N,Trailing Suction Hopper Dredger,630.0,0.0,1973.0,Denmark,,NCC Industry A/S,Denmark,NCC Industry A/S,NCC Industry A/S,Denmark,Frederikshavn,Denmark,2024-07-01,,
9000302.0,MY MERAY,Bulk Carrier,21941.0,6925.0,1992.0,Belize,,Janchart Shipping A/S,Denmark,Eastern Star Shipping,4Brother's Shipping Ltd,Liberia,Alang,India,2024-10-01,,
9215165.0,JEPPESEN MAERSK,Container Ship (Fully Cellular),30166.0,6314.0,2001.0,Denmark (Dis),,Moller-Maersk A/S,Denmark,Maersk A/S,Maersk A/S,Denmark,Aliaga,Turkey,2024-05-01,,
9164237.0,ALEXANDER MAERSK,Container Ship (Fully Cellular),14120.0,6122.0,1998.0,Denmark (Dis),,Moller AP,Denmark,Maersk A/S,Maersk A/S,Denmark,Aliaga,Turkey,2024-07-01,,
9105970.0,Y GLORY,Container Ship (Fully Cellular),16801.0,7771.0,1996.0,St Kitts & Nevis,Egypt,CORPLEASE,Egypt,Mahoney Shipping & Marine Serv,CORPLEASE,Egypt,Alang,India,2024-08-01,,
